id,authors_long,author
17,"cannon, ellie",e. cannon
17,"copenhaver-parry, paige e.",p. copenhaver-parry
18,"betts, matthew g.",m. betts
18,"frey, sarah j. k.",s. frey
18,"hadley, adam s.",a. hadley
20,"barnhart, theodore b.",t. barnhart
20,"harpold, adrian a.",a. harpold
20,"knowles, john f.",j. knowles
20,"livneh, ben",b. livneh
20,"molotch, noah p.",n. molotch
20,"schneider, dominik",d. schneider
23,"huggel, christian",c. huggel
23,"muccione, veruska",v. muccione
23,"salzmann, nadine",n. salzmann
24,"dhar, amalesh",a. dhar
24,"hawkins, christopher d. b.",c. hawkins
24,"parrott, lael",l. parrott
27,"cooper, matthew g.",m. cooper
27,"nolin, anne w.",a. nolin
27,"safeeq, mohammad",m. safeeq
30,"dhar, amalesh",a. dhar
30,"heckbert, scott",s. heckbert
30,"parrott, lael",l. parrott
42,"hogue, terri s.",t. hogue
42,"mccray, john e.",j. mccray
42,"porter, aaron t.",a. porter
42,"slinski, kimberly m.",k. slinski
43,"kumar, sunil",s. kumar
43,"laituri, melinda",m. laituri
43,"sibold, jason s.",j. sibold
43,"sidder, aaron m.",a. sidder
45,"bish, james c.",j. bish
45,"hotaling, scott",s. hotaling
45,"tronstad, lusha m.",l. tronstad
48,"forster, richard r.",r. forster
48,"selkowitz, david j.",d. selkowitz
49,"bentz, barbara j.",b. bentz
49,"duncan, jacob p.",j. duncan
49,"powell, james a.",j. powell
53,"maneta, m. p.",m. maneta
53,"silverman, n. l.",n. silverman
60,"kochanski, adam",a. kochanski
60,"scalzitti, jason",j. scalzitti
60,"strong, courtenay",c. strong
62,"friele, pierre a.",p. friele
62,"moore, r. dan",r. moore
62,"paige, kathy",k. paige
68,"dery, stephen j.",s. dery
68,"sharma, aseem raj",a. sharma
70,"adam, jennifer c.",j. adam
70,"barber, michael e.",m. barber
70,"cherkauer, keith a.",k. cherkauer
70,"gould, gregory k.",g. gould
70,"liu, mingliang",m. liu
70,"robichaud, peter r.",p. robichaud
77,"betts, matthew g.",m. betts
77,"frey, sarah j. k.",s. frey
77,"hadley, adam s.",a. hadley
77,"johnson, sherri l.",s. johnson
77,"jones, julia a.",j. jones
77,"schulze, mark",m. schulze
81,"campbell, john l.",j. campbell
81,"keeton, william s.",w. keeton
81,"kennedy, robert e.",r. kennedy
81,"meigs, garrett w.",g. meigs
81,"zald, harold s. j.",h. zald
83,"hicke, jeffrey a.",j. hicke
83,"kolden, crystal a.",c. kolden
83,"meddens, arjan j. h.",a. meddens
85,"lamb, clayton t.",c. lamb
85,"robson, kelsey m.",k. robson
85,"russello, michael a.",m. russello
90,"hyde, kevin d.",k. hyde
90,"jencso, kelsey",k. jencso
90,"wilcox, andrew c.",a. wilcox
90,"woods, scott",s. woods
91,"arora, vivek k.",v. arora
91,"fyfe, john c.",j. fyfe
91,"hawkins, barbara",b. hawkins
91,"kurz, werner a.",w. kurz
91,"peng, yiran",y. peng
91,"werner, arelia t.",a. werner
93,"bailey, vanessa",v. bailey
93,"bolton, harvey",h. bolton
93,"bond-lamberty, ben",b. bond-lamberty
93,"fansler, sarah",s. fansler
93,"heredia-langner, alejandro",a. heredia-langner
93,"liu, chongxuan",c. liu
93,"mccue, lee ann",l. mccue
93,"smith, jeffrey",j. smith
95,"halofsky, jessica e.",j. halofsky
95,"peterson, david l.",d. peterson
97,"barge, edward",e. barge
97,"hansen, andrew",a. hansen
97,"ireland, kathryn",k. ireland
97,"jenkins, martha",m. jenkins
97,"keane, robert",r. keane
97,"legg, kristin",k. legg
97,"pillet, michiel",m. pillet
99,"ajami, hoori",h. ajami
99,"allen, diana m.",d. allen
99,"blasch, kyle w.",k. blasch
99,"brookfield, andrea e.",a. brookfield
99,"castro, christopher l.",c. castro
99,"clark, jordan f.",j. clark
99,"flints, alan l.",a. flints
99,"gochis, david j.",d. gochis
99,"manning, andrew h.",a. manning
99,"meixner, thomas",t. meixner
99,"neff, kirstin l.",k. neff
99,"niraula, rewati",r. niraula
99,"rodell, matthew",m. rodell
99,"scanlon, bridget r.",b. scanlon
99,"singha, kamini",k. singha
99,"stonestrom, david a.",d. stonestrom
99,"walvoord, michelle a.",m. walvoord
103,"ba, aisha",a. ba
103,"hansen, winslow d.",w. hansen
103,"romme, william h.",w. romme
103,"turner, monica g.",m. turner
104,"hale, v. cody",v. hale
104,"mcdonnell, jeffrey j.",j. mcdonnell
105,"bell, david m.",d. bell
105,"cohen, warren b.",w. cohen
105,"mildrexler, david",d. mildrexler
105,"yang, zhiqiang",z. yang
106,"churchill, derek j.",d. churchill
106,"clyatt, kate a.",k. clyatt
106,"crotteau, justin s.",j. crotteau
106,"kelley, harold",h. kelley
106,"larson, andrew j.",a. larson
106,"schaedel, michael s.",m. schaedel
106,"wiggins, haley l.",h. wiggins
115,"jamieson, bruce",b. jamieson
115,"maes, marc a.",m. maes
115,"sinickas, alexandra",a. sinickas
118,"ficklin, darren l.",d. ficklin
118,"letsinger, sally l.",s. letsinger
118,"maurer, edwin p.",e. maurer
118,"stewart, iris t.",i. stewart
119,"armatas, christopher a.",c. armatas
119,"carver, steve j.",s. carver
119,"mcbride, brooke b.",b. mcbride
119,"venn, tyron j.",t. venn
119,"watson, alan e.",a. watson
120,"bloom, trevor d.",t. bloom
120,"medler, michael j.",m. medler
120,"o'leary, donal s., iii",d. o'leary
120,"smith, jacob c.",j. smith
120,"zemp, christopher r.",c. zemp
126,"corbett, l. j.",l. corbett
126,"lantz, v. a.",v. lantz
126,"ochuodho, t. o.",t. ochuodho
126,"withey, p.",p. withey
128,"chappelka, a. h.",a. chappelka
128,"grulke, n. e.",n. grulke
132,"carolan, michael",m. carolan
132,"stuart, diana",d. stuart
135,"bellaire, sascha",s. bellaire
135,"goodrich, jeff",j. goodrich
135,"jamieson, bruce",b. jamieson
135,"statham, grant",g. statham
135,"thumlert, scott",s. thumlert
137,"burke, jordan l.",j. burke
137,"carroll, allan l.",a. carroll
138,"lapo, karl",k. lapo
138,"lundquist, jessica d.",j. lundquist
138,"raleigh, mark s.",m. raleigh
139,"grant, gordon e.",g. grant
139,"lewis, sarah l.",s. lewis
139,"safeeq, mohammad",m. safeeq
139,"staab, brian",b. staab
141,"ferschweiler, k.",k. ferschweiler
141,"let, d. bache",d. let
141,"sheehan, t.",t. sheehan
142,"dymond, caren c.",c. dymond
142,"hopkins, katherine",k. hopkins
142,"mccallion, katharine",k. mccallion
142,"sandland, james",j. sandland
142,"spittlehouse, david l.",d. spittlehouse
142,"tedder, sinclair",s. tedder
149,"hauer, f. r.",f. hauer
149,"kleindl, w. j.",w. kleindl
149,"marshall, l. a.",l. marshall
149,"rains, m. c.",m. rains
150,"chen, youhua",y. chen
150,"nielsen, scott e.",s. nielsen
150,"stolar, jessica",j. stolar
150,"thuiller, wilfried",w. thuiller
150,"zhang, jian",j. zhang
153,"aplet, gregory h.",g. aplet
153,"belote, r. travis",r. belote
153,"bisson, peter a.",p. bisson
153,"churchill, derek j.",d. churchill
153,"gaines, william l.",w. gaines
153,"haugo, ryan d.",r. haugo
153,"hessburg, paul f.",p. hessburg
153,"keane, robert e.",r. keane
153,"larson, andrew j.",a. larson
153,"miller, carol",c. miller
153,"morgan, penelope",p. morgan
153,"north, malcolm p.",m. north
153,"povak, nicholas a.",n. povak
153,"reeves, gordon h.",g. reeves
153,"rieman, bruce e.",b. rieman
153,"salter, r. brion",r. salter
153,"singleton, peter h.",p. singleton
153,"spies, thomas a.",t. spies
153,"stephens, scott l.",s. stephens
168,"allen, craig d.",c. allen
168,"anderegg, william r. l.",w. anderegg
168,"aukema, juliann",j. aukema
168,"bentz, barbara",b. bentz
168,"fisher, rosie a.",r. fisher
168,"hicke, jeffrey a.",j. hicke
168,"hood, sharon",s. hood
168,"lichstein, jeremy w.",j. lichstein
168,"macalady, alison k.",a. macalady
168,"mcdowell, nate",n. mcdowell
168,"pan, yude",y. pan
168,"raffa, kenneth",k. raffa
168,"sala, anna",a. sala
168,"shaw, john d.",j. shaw
168,"stephenson, nathan l.",n. stephenson
168,"tague, christina",c. tague
168,"zeppel, melanie",m. zeppel
169,"hough-snee, n.",n. hough-snee
169,"lokteff, r. l.",r. lokteff
169,"roper, b. b.",b. roper
169,"wheaton, j. m.",j. wheaton
174,"law, b. e.",b. law
174,"waring, r. h.",r. waring
175,"beechie, timothy j.",t. beechie
175,"ebersole, joseph l.",j. ebersole
175,"faux, russell n.",r. faux
175,"fullerton, aimee h.",a. fullerton
175,"lawler, joshua j.",j. lawler
175,"leibowitz, scott g.",s. leibowitz
175,"steel, e. ashley",e. steel
175,"torgersen, christian e.",c. torgersen
177,"bartlein, patrick j.",p. bartlein
177,"gray, elizabeth m.",e. gray
177,"pelltier, richard t.",r. pelltier
177,"shafer, sarah l.",s. shafer
178,"harpold, adrian a.",a. harpold
178,"molotch, noah p.",n. molotch
181,"beever, erik a.",e. beever
181,"otto, hans w.",h. otto
181,"wilson, james a.",j. wilson
182,"peek, james m.",j. peek
186,"hough-snee, nate",n. hough-snee
186,"laub, brian g.",b. laub
186,"long, a. lexine",a. long
186,"merritt, david m.",d. merritt
186,"nackley, lloyd l.",l. nackley
186,"roper, brett b.",b. roper
186,"wheaton, joseph m.",j. wheaton
194,"andersen, kelly m.",k. andersen
194,"endress, bryan a.",b. endress
194,"naylor, bridgett j.",b. naylor
194,"parks, catherine g.",c. parks
195,"cushman, samuel a.",s. cushman
195,"mcrae, brad h.",b. mcrae
195,"parks, leslie c.",l. parks
195,"wallin, david o.",d. wallin
198,"praskievicz, sarah",s. praskievicz
201,"jennings, keith",k. jennings
201,"jones, julia a.",j. jones
202,"carisio, sebastian",s. carisio
202,"hanson, brian",b. hanson
202,"o'neal, michael a.",m. o'neal
202,"satinsky, ashley",a. satinsky
206,"lavkulich, les m.",l. lavkulich
206,"roussin, rachael",r. roussin
206,"utzig, gregory",g. utzig
206,"wilson, julie e.",j. wilson
210,"marks, danny g.",d. marks
210,"pomeroy, john w.",j. pomeroy
210,"rasouli, kabir",k. rasouli
211,"arismendi, ivan",i. arismendi
211,"bilby, robert e.",r. bilby
211,"dunham, jason b.",j. dunham
211,"johnson, sherri l.",s. johnson
211,"penaluna, brooke e.",b. penaluna
211,"railsback, steve f.",s. railsback
211,"safeeq, mohammad",m. safeeq
211,"skaugset, arne e.",a. skaugset
215,"gunderson, aren m.",a. gunderson
215,"kerhoulas, nicholas j.",n. kerhoulas
215,"olson, link e.",l. olson
222,"jorgensen, carl l.",c. jorgensen
222,"perkins, dana l.",d. perkins
222,"rinella, matthew j.",m. rinella
224,"collatz, g. james",g. collatz
224,"ghimire, bardan",b. ghimire
224,"kulakowski, dominik",d. kulakowski
224,"masek, jeffrey g.",j. masek
224,"rogan, john",j. rogan
224,"vanderhoof, melanie",m. vanderhoof
224,"williams, christopher a.",c. williams
228,"abatzoglou, john t.",j. abatzoglou
228,"dobrowski, solomon z.",s. dobrowski
228,"gavin, daniel g.",d. gavin
228,"holden, zachary a.",z. holden
228,"safford, hugh d.",h. safford
228,"schwartz, mike k.",m. schwartz
228,"swanson, alan k.",a. swanson
231,"duncan, jacob p.",j. duncan
231,"eason, joseph",j. eason
231,"gordillo, luis f.",l. gordillo
231,"powell, james a.",j. powell
232,"abatzoglou, john t.",j. abatzoglou
232,"bean, alycia",a. bean
232,"blades, jarod",j. blades
232,"clark, melissa a.",m. clark
232,"dodd, megan",m. dodd
232,"hall, troy e.",t. hall
232,"haruch, amanda",a. haruch
232,"higuera, philip e.",p. higuera
232,"holbrook, joseph d.",j. holbrook
232,"jansen, vincent s.",v. jansen
232,"kemp, kerry",k. kemp
232,"klos, p. zion",p. klos
232,"lankford, amber",a. lankford
232,"link, timothy e.",t. link
232,"magney, troy",t. magney
232,"meddens, arjan j. h.",a. meddens
232,"mitchell, liza",l. mitchell
232,"moore, brandon",b. moore
232,"morgan, penelope",p. morgan
232,"newingham, beth a.",b. newingham
232,"niemeyer, ryan j.",r. niemeyer
232,"soderquist, ben",b. soderquist
232,"suazo, alexis a.",a. suazo
232,"vierling, kerri t.",k. vierling
232,"walden, von",v. walden
232,"walsh, chelsea",c. walsh
233,"adams, susan b.",s. adams
233,"neely, david a.",d. neely
233,"schmetterling, david a.",d. schmetterling
238,"al-chokhachy, robert",r. al-chokhachy
238,"dehaan, patrick w.",p. dehaan
238,"hand, brian k.",b. hand
238,"kovach, ryan p.",r. kovach
238,"luikart, gordon",g. luikart
238,"muhlfeld, clint c.",c. muhlfeld
238,"wade, alisa a.",a. wade
238,"whited, diane c.",d. whited
239,"groce, matthew c.",m. groce
239,"horan, dona l.",d. horan
239,"isaak, daniel j.",d. isaak
239,"nagel, david e.",d. nagel
239,"young, michael k.",m. young
241,"kostadinov, tihomir sabinov",t. kostadinov
241,"lookingbill, todd r.",t. lookingbill
242,"ayres, matthew p.",m. ayres
242,"bentz, barbara j.",b. bentz
242,"holmes, thomas p.",t. holmes
242,"weed, aaron s.",a. weed
243,"melton, joe r.",j. melton
243,"merryfield, william j.",w. merryfield
243,"sospedra-alfonso, reinel",r. sospedra-alfonso
244,"delcurto, t.",t. delcurto
244,"roever, c. l.",c. roever
244,"rowland, m.",m. rowland
244,"vavra, m.",m. vavra
244,"wisdom, m.",m. wisdom
254,"geiser, linda h.",l. geiser
254,"jovan, sarah",s. jovan
254,"neitlich, peter",p. neitlich
254,"root, heather t.",h. root
255,"malanson, george p.",g. malanson
255,"walsh, stephen j.",s. walsh
255,"weiss, daniel j.",d. weiss
260,"hillerislambers, janneke",j. hillerislambers
260,"kroiss, steve j.",s. kroiss
261,"anslow, faron s.",f. anslow
261,"clarke, garry k. c.",g. clarke
261,"jarosch, alexander h.",a. jarosch
261,"menounos, brian",b. menounos
261,"radic, valentina",v. radic
263,"hamlet, a. f.",a. hamlet
263,"lauver, c.",c. lauver
263,"raymond, c. l.",c. raymond
263,"rochefort, r. m.",r. rochefort
263,"strauch, r. l.",r. strauch
265,"beauchamp, david a.",d. beauchamp
265,"lawrence, david j.",d. lawrence
265,"olden, julian d.",j. olden
268,"meyer, grant a.",g. meyer
268,"pierce, jennifer",j. pierce
268,"riley, kerry",k. riley
273,"oke, oluwatobi a.",o. oke
273,"thompson, ken a.",k. thompson
274,"dunk, jeffrey r.",j. dunk
274,"graham, james j.",j. graham
274,"lau, matthew j.",m. lau
274,"schlexer, fredrick v.",f. schlexer
274,"zielinski, william j.",w. zielinski
282,"crosby, benjamin t.",b. crosby
282,"godsey, sarah e.",s. godsey
282,"tennant, christopher j.",c. tennant
285,"fritz, sherilyn c.",s. fritz
285,"krause, teresa r.",t. krause
285,"lu, yanbin",y. lu
285,"pierce, kenneth l.",k. pierce
285,"whitlock, cathy",c. whitlock
297,"boll, j.",j. boll
297,"brooks, e. s.",e. brooks
297,"elliot, w. j.",w. elliot
297,"gazel, e.",e. gazel
297,"sanchez-murillo, r.",r. sanchez-murillo
298,"anderson, cort l.",c. anderson
298,"ott, todd m.",t. ott
298,"strand, eva k.",e. strand
302,"abatzoglou, j. t.",j. abatzoglou
302,"hegewisch, k. c.",k. hegewisch
302,"lute, a. c.",a. lute
307,"chen, huapeng",h. chen
307,"jackson, peter l.",p. jackson
307,"ott, peter k.",p. ott
307,"spittlehouse, david l.",d. spittlehouse
308,"geiser, linda h.",l. geiser
308,"mcmurray, jill a.",j. mcmurray
308,"roberts, david w.",d. roberts
309,"ballantyne, ashley p.",a. ballantyne
309,"dobrowski, solomon z.",s. dobrowski
309,"klene, anna e.",a. klene
309,"oyler, jared w.",j. oyler
309,"running, steven w.",s. running
310,"healey, sean",s. healey
310,"patterson, paul",p. patterson
310,"peduzzi, alicia",a. peduzzi
310,"raymond, crystal l.",c. raymond
311,"acker, steven a.",s. acker
311,"bivin, mignonne",m. bivin
311,"boetsch, john r.",j. boetsch
311,"cole, carla",c. cole
311,"philippi, tom",t. philippi
311,"whiteaker, lou",l. whiteaker
313,"barbier, nicolas",n. barbier
322,"famiglietti, j. s.",j. famiglietti
322,"leibowitz, s. g.",s. leibowitz
322,"patil, s. d.",s. patil
322,"reager, j. t.",j. reager
322,"sproles, e. a.",e. sproles
322,"wigington, p. j., jr.",p. wigington
323,"blades, jarod j.",j. blades
323,"force, jo ellen",j. force
323,"hall, troy e.",t. hall
323,"kemp, kerry b.",k. kemp
323,"klos, p. zion",p. klos
323,"morgan, penelope",p. morgan
323,"tinkham, wade t.",w. tinkham
324,"higuchi, kaz",k. higuchi
324,"joncas, fiona",f. joncas
327,"carim, kellie",k. carim
327,"eby, lisa",l. eby
327,"pierce, ron",r. pierce
332,"richardson, bryce a.",b. richardson
332,"still, shannon m.",s. still
340,"daub, markus",m. daub
340,"jauss, verena",v. jauss
340,"johnson, mark",m. johnson
340,"krull, evelyn",e. krull
340,"lehmann, johannes",j. lehmann
341,"du, enhao",e. du
341,"gravelle, john a.",j. gravelle
341,"hubbart, jason a.",j. hubbart
341,"link, timothy e.",t. link
346,"holden, zachary",z. holden
346,"lopez-burgos, viviana",v. lopez-burgos
346,"luce, charles h.",c. luce
347,"adams, richard m.",r. adams
347,"lowe, scott e.",s. lowe
347,"xu, wenchao",w. xu
352,"carstensen, laurence w.",l. carstensen
352,"malanson, george p.",g. malanson
352,"prisley, stephen p.",s. prisley
352,"resler, lynn m.",l. resler
352,"smith-mckenna, emily k.",e. smith-mckenna
352,"tomback, diana f.",d. tomback
357,"grant, gordon e.",g. grant
357,"kennard, paul",p. kennard
357,"legg, nicholas t.",n. legg
357,"meigs, andrew j.",a. meigs
375,"dymond, caren c.",c. dymond
375,"hopkins, katherine",k. hopkins
375,"mccallion, katharine",k. mccallion
375,"raymer, brian",b. raymer
375,"sandland, james",j. sandland
375,"spittlehouse, david l.",d. spittlehouse
375,"tedder, sinclair",s. tedder
381,"horan, dona l.",d. horan
381,"peterson, douglas p.",d. peterson
381,"rieman, bruce e.",b. rieman
381,"young, michael k.",m. young
387,"bartlein, patrick",p. bartlein
387,"praskievicz, sarah",s. praskievicz
391,"fredeen, arthur l.",a. fredeen
391,"klopp, wyatt s.",w. klopp
392,"bull, gary",g. bull
392,"gelinas, nancy",n. gelinas
392,"nilausen, chelsea",c. nilausen
395,"guralnick, robert p.",r. guralnick
395,"jetz, walter",w. jetz
395,"mcgill, brian",b. mcgill
395,"parmentier, benoit",b. parmentier
395,"regetz, james",j. regetz
395,"robinson, natalie",n. robinson
395,"schildhauer, mark",m. schildhauer
395,"tuanmu, mao-ning",m. tuanmu
395,"wilson, adam m.",a. wilson
396,"dozier, andre q.",a. dozier
396,"furey, peter r.",p. furey
396,"kampf, stephanie k.",s. kampf
396,"lanini, jordan s.",j. lanini
401,"highland, steven a.",s. highland
401,"jones, julia a.",j. jones
403,"dearing, m. denise",m. dearing
403,"varner, johanna",j. varner
406,"bright, benjamin c.",b. bright
406,"hudak, andrew t.",a. hudak
406,"kennedy, robert e.",r. kennedy
406,"meddens, arjan j. h.",a. meddens
410,"bowyer, r. terry",r. bowyer
410,"kie, john g.",j. kie
410,"long, ryan a.",r. long
410,"mathewson, paul",p. mathewson
410,"monteith, kevin l.",k. monteith
410,"porter, warren p.",w. porter
419,"bohlmann, joerg",j. bohlmann
419,"boone, celia k.",c. boone
419,"coltman, david w.",d. coltman
419,"cooke, janice e. k.",j. cooke
419,"huber, dezene p. w.",d. huber
419,"janes, jasmine k.",j. janes
419,"keeling, christopher i.",c. keeling
419,"li, yisu",y. li
419,"murray, brent w.",b. murray
419,"sperling, felix a. h.",f. sperling
419,"yuen, macaire m. s.",m. yuen
423,"cansler, c. alina",c. cansler
423,"mckenzie, donald",d. mckenzie
425,"nielsen, scott e.",s. nielsen
425,"roberts, david r.",d. roberts
425,"stenhouse, gordon b.",g. stenhouse
431,"eby, lisa a.",l. eby
431,"helmy, olga",o. helmy
431,"holsinger, lisa m.",l. holsinger
431,"young, michael k.",m. young
435,"hansen, e. matthew",e. hansen
446,"chipman, kathryn g.",k. chipman
446,"resler, lynn m.",l. resler
446,"smith-mckenna, emily k.",e. smith-mckenna
446,"smith, cyndi m.",c. smith
446,"tomback, diana f.",d. tomback
447,"eby, lisa",l. eby
447,"holsinger, lisa",l. holsinger
447,"isaak, daniel j.",d. isaak
447,"keane, robert e.",r. keane
447,"young, michael k.",m. young
451,"bell, david m.",d. bell
451,"bradford, john b.",j. bradford
451,"lauenroth, william k.",w. lauenroth
455,"roe, gerard",g. roe
455,"siler, nicholas",n. siler
459,"abatzoglou, j. t.",j. abatzoglou
459,"lute, a. c.",a. lute
461,"isaak, dan",d. isaak
461,"kramer, marc",m. kramer
461,"luce, charles",c. luce
461,"mcconnell, callie",c. mcconnell
461,"staab, brian",b. staab
461,"wenger, seth",s. wenger
466,"chen, huapeng",h. chen
476,"coopersmith, e. j.",e. coopersmith
476,"minsker, b. s.",b. minsker
476,"sivapalan, m.",m. sivapalan
484,"doesken, nolan",n. doesken
484,"elder, kelly",k. elder
484,"hoover, jamie d.",j. hoover
484,"laituri, melinda",m. laituri
484,"liston, glen e.",g. liston
486,"alfaro, rene i.",r. alfaro
486,"axelson, jodi",j. axelson
486,"berg, jenny",j. berg
489,"dearing, m. denise",m. dearing
489,"varner, johanna",j. varner
491,"bentz, barbara j.",b. bentz
491,"powell, james a.",j. powell
